id,name,mgmt,moi,cat,sex,cluster_name,block_name,district_name,school_type,assembly_name,parliament_name,pincode,address,landmark,bus,coord
12418,HPS BARAMASAGARA,ed,kannada,Upper Primary,co-ed,dodderi,challakere,chitradurga,primary,Challakere,Chitradurga,577537,,,,POINT(76.710182 14.3314206666667)
3013,GOVT LPS MORBAD TOTA,ed,kannada,Lower Primary,co-ed,mahalingapur mps,mudhol,bagalkot,primary,Mudhol,Bagalkot,587312,,,,POINT(75.0896796666667 16.342085)
10663,GLPS RAYAPPANAHALLI,ed,kannada,Lower Primary,co-ed,dibbur,chikkaballapur,chikballapur,primary,Sidlaghatta,Kolar,562105,,,,POINT(77.8493459848485 13.5185056818182)
11930,GLPS JAMMENAHALLY,ed,kannada,Lower Primary,co-ed,sirigere,chitradurga,chitradurga,primary,Holalkere,Chitradurga,577541,,,,POINT(76.18817 14.2762)
10623,GLPS DINNEHOSAHALLI,ed,kannada,Lower Primary,co-ed,poshettihalli,chikkaballapur,chikballapur,primary,Chikkaballapur,Chikkballapur,562101,,,,POINT(77.714857 13.4528196666667)
29405,GOVT UBLPS LONI BK,ed,kannada,Lower Primary,co-ed,chadachan(urdu),chadachan,bijapur,primary,Nagthan,Bijapur,586204,,,,POINT(75.7707013333333 17.3098603333333)
29398,GOVT UBS HINGANI,ed,kannada,Upper Primary,co-ed,chadachan(urdu),chadachan,bijapur,primary,Nagthan,Bijapur,586207,,,,POINT(75.899626 17.3349203333333)
18224,GLPS K SHETTIHALLI,ed,kannada,Lower Primary,co-ed,uthanur,mulbagal,kolar,primary,,,,,,,
34727,G HPS KALAGERE,ed,kannada,Upper Primary,co-ed,bevooru,channapatna,ramnagara,primary,Channapatna,Bangalore Rural,562108,,,,POINT(77.1371973333333 12.7270823333333)
2116,GOVT KLBLPS HIRESHELLIKERI,ed,kannada,Lower Primary,co-ed,kbs kaladagi,bagalkot,bagalkot,primary,Bilgi,Bagalkot,587204,,,,POINT(75.5277376666667 16.1551026666667)
18514,GLPS CHIKKAVARIPALLY,ed,kannada,Lower Primary,co-ed,mudimadagu,srinivasapur,kolar,primary,Srinivaspur,Kolar,563134,,,,POINT(78.3612133333333 13.579741)
11438,GLPS PULAMAKALAHALLI,ed,kannada,Lower Primary,co-ed,d palya,gowribidanur,chikballapur,primary,Gauribidanur,Chikkballapur,561206,,,,POINT(77.6350680519481 13.6496218181818)
12168,HPS AGASANAKALLU,ed,kannada,Upper Primary,co-ed,belagatta,chitradurga,chitradurga,primary,Chitradurga,Chitradurga,577501,,,,POINT(76.3859793333333 14.2273373333333)
35102,G HPS ARCHAKARAHALLI,ed,kannada,Upper Primary,co-ed,ramanagara town,ramanagara,ramnagara,primary,Ramanagaram,Bangalore Rural,571511,,,,POINT(77.2672613333333 12.7120586666667)
17726,GLPS AJJAPPANAHALLI,ed,kannada,Lower Primary,co-ed,dinnahalli,malur,kolar,primary,Malur,Kolar,563139,,,,POINT(78.074949 12.8757)
12388,HPS YALAGATTE GOLLARAHATTY,ed,kannada,Upper Primary,co-ed,b.n.pura,challakere,chitradurga,primary,Challakere,Chitradurga,577522,,,,POINT(76.755705 14.190621)
11010,GHPS BOMMEKALLU,ed,kannada,Upper Primary,co-ed,konapalli,chintamani,chikballapur,primary,Chintamani,Kolar,563128,,,,POINT(77.9769376666667 13.3813423333333)
27733,GOVT KBHPS SATIHAL,ed,kannada,Upper Primary,co-ed,donur,basavan  bagewadi,bijapur,primary,Devar Hippargi,Bijapur,586115,,,,POINT(76.0579376666667 16.7323233333333)
29208,GOVT LPKBS KANTIHALL VASTI KOK,ed,kannada,Lower Primary,co-ed,devar hipparagi,sindagi,bijapur,primary,Sindgi,Bijapur,586115,,,,POINT(76.1878863333333 16.8573393333333)
25648,GOVT LPS BUDHUR,ed,kannada,Upper Primary,co-ed,chapetla,yadgir,yadgiri,primary,Gurmitkal,Gulbarga,585214,,,,POINT(77.36023 16.852623)
34701,G HPS BHOOHALLI,ed,kannada,Upper Primary,co-ed,honganuru,channapatna,ramnagara,primary,Channapatna,Bangalore Rural,562138,,,,POINT(77.2881993333333 12.5596426666667)
25596,GOVT LPS SAVUR `,ed,kannada,Upper Primary,co-ed,malhar,yadgir,yadgiri,primary,Gurmitkal,Gulbarga,585221,,,,POINT(77.2027403333333 16.60672)
